name,index
RAB28,1264
H2B1M,1265
ERLEC,1266
ARK72,1267
PDGFC,1268
CEBPA,1269
PCDGI,1270
SHOT1,1271
ANXA7,1272
SCOT1,1273
GNA1,1274
TFP11,1275
OST48,1276
TNAP2,1277
ZHX2,1278
IDH1,1279
KI67,1280
PDXK,1281
HNRPL,1282
DHX32,1283
TIE1,1284
CD62P,1285
RUFY2,1286
TYB10,1287
TEF,1288
NBEL2,1289
FBX5,1290
OTUB1,1291
RHEX,1292
CXA8,1293
COP1,1294
EIF3D,1295
DC2I2,1296
ERCC6,1297
GALT8,1298
NDUAA,1299
KPB1,1300
VWDE,1301
HEM6,1302
CO3,1303
COX8A,1304
RUFY1,1305
MAP1A,1306
SYWC,1307
AF1L2,1308
RT15,1309
E41L1,1310
Z705G,1311
RL35A,1312
EXC6B,1313
IL1A,1314
CP100,1315
PHB2,1316
ENAM,1317
MAP1S,1318
GCYB1,1319
UBAP2,1320
SIGLEC.10,1321
ARF3,1322
ORN,1323
NADAP,1324
MATN2,1325
DFFA,1326
OSTP,1327
S10AA,1328
NAMPT,1329
KLC4,1330
GLS,1331
CD117,1332
TMCO3,1333
ZN404,1334
SIA8D,1335
TF3C4,1336
RT17,1337
RRAS,1338
HP1B3,1339
AT8B1,1340
PAN.KERATIN,1341
CD71,1342
A2MG,1343
CD66ACE,1344
EP15R,1345
SFRP4,1346
SAC1,1347
CND1,1348
ELOB,1349
CAAS1,1350
MMP14,1351
CD101,1352
NLRP1,1353
SRSF7,1354
MSC.NPC,1355
HAT1,1356
CD69,1357
CDON,1358
K1328,1359
TALDO,1360
LOXL3,1361
C3AR,1362
CTGE6,1363
CSK2B,1364
ASB6,1365
SWAHB,1366
EIF3M,1367
LTN1,1368
ABHDB,1369
RL7A,1370
HS3S2,1371
NEUM,1372
PPIH,1373
CI131,1374
KIF14,1375
UNC79,1376
MTCH1,1377
EPHA2,1378
FPPS,1379
FCRG,1380
TPD53,1381
LIAS,1382
SF3B4,1383
TM214,1384
U2AF1,1385
IF4H,1386
T132D,1387
TXD12,1388
SL9C1,1389
POTEI,1390
GMPPA,1391
CHD4,1392
RT26,1393
AIPL1,1394
RWDD1,1395
EMAL3,1396
PPR21,1397
TRI23,1398
EXOC7,1399
SCNBA,1400
UBR3,1401
OASL,1402
UBXN7,1403
WDR4,1404
M4A14,1405
RN121,1406
BEST1,1407
IGDC3,1408
PCD17,1409
CN177,1410
GALT1,1411
PCAT1,1412
TXD11,1413
CD366,1414
INT10,1415
CAH13,1416
PKD2,1417
ZFP3,1418
NHLC2,1419
MYL1,1420
MGDP1,1421
GGH,1422
SMAP1,1423
PDIA6,1424
EFC2,1425
LSM12,1426
PDK1.P,1427
SUSD2,1428
TIGIT,1429
LMNB1,1430
CSTF2,1431
CFLAR,1432
SCP2,1433
CD111,1434
NUP88,1435
DKC1,1436
CD134,1437
PCYXL,1438
CD84,1439
DVL2,1440
IL31R,1441
PHAX,1442
CD199,1443
AMOT,1444
MILK1,1445
CCD18,1446
EAA2,1447
SPIR2,1448
CSRP1,1449
H15,1450
HOME3,1451
CAC1H,1452
TTLL5,1453
CD45,1454
PTBP1,1455
FCRLA,1456
CF141,1457
SNX27,1458
HBS1L,1459
TRPV2,1460
LAD1,1461
NIT2,1462
MYO1F,1463
AN18B,1464
PCMD1,1465
PDPK1,1466
RBM15,1467
CD203C,1468
REL,1469
P5CR3,1470
ARI4B,1471
COBA2,1472
CD34,1473
ETHE1,1474
TMED5,1475
IRF9,1476
MYH14,1477
STK16,1478
C1GLT,1479
CSK21,1480
CD85K,1481
ZN813,1482
PLXA4,1483
IFIT3,1484
ARNT,1485
MBOA2,1486
TYY1,1487
WIZ,1488
MCTP2,1489
MSI2H,1490
TTYH2,1491
AAKG1,1492
THIL,1493
LRP6,1494
XKR7,1495
CD158B,1496
ISK13,1497
MCMBP,1498
RASF8,1499
CA127,1500
MTLR,1501
ITK,1502
MUSK,1503
NUP85,1504
DUS15,1505
ERAP1,1506
PLOD1,1507
NDK6,1508
NCK2,1509
JKAMP,1510
SHSA8,1511
RU1C,1512
CAMP2,1513
RLP24,1514
CNPY2,1515
GOGA4,1516
JAM3,1517
TCR.VB8,1518
LY.49C.LY.49I,1519
RORGT,1520
ZN182,1521
EFC13,1522
SC31B,1523
UBP24,1524
EIF3K,1525
F161A,1526
GCP5,1527
ADA2B,1528
PTPRG,1529
FAM3C,1530
CDO1,1531
CI163,1532
FR1L6,1533
XPP1,1534
TFKL2,1535
PRS10,1536
KIF15,1537
JUPI1,1538
GRIK3,1539
DSG2,1540
GOLP3,1541
VP26A,1542
CD80,1543
PDS5B,1544
ARI5B,1545
ODPX,1546
F90AN,1547
GPN1,1548
SEM3A,1549
DPOD3,1550
WASH4,1551
DISP2,1552
BCAP,1553
MYO15,1554
CSN5,1555
TTC7B,1556
WRN,1557
IFT27,1558
ERK1,1559
MDGA1,1560
CH60,1561
PPT2,1562
DUS3,1563
ILDR2,1564
SMC6,1565
KCND1,1566
LIMK1,1567
HNRH2,1568
CD202B,1569
EP400,1570
MCEE,1571
CDC27,1572
NOTC1,1573
H2AX,1574
HMCN1,1575
PP2BB,1576
HXB3,1577
SDS3,1578
NB5R1,1579
TPA,1580
COX7R,1581
TEX52,1582
PGES2,1583
SPTSA,1584
DPYL4,1585
LRCH1,1586
RANB3,1587
MPRI,1588
DNHD1,1589
ANKUB,1590
MET16,1591
WASC5,1592
DYH11,1593
MGAL,1594
FAKD1,1595
S10A1,1596
NPHN,1597
RL37A,1598
PLSI,1599
PCSK7,1600
FABP5,1601
FZD8,1602
HLA.DR.DP.DQ,1603
SNRPA,1604
ATMIN,1605
QRIC2,1606
NINL,1607
ICLN,1608
CEP97,1609
ELNE,1610
UBR7,1611
CD204,1612
SYPL1,1613
LEPR,1614
NDOR1,1615
CD140A,1616
CMTR2,1617
NAV2,1618
ABCB5,1619
PPR18,1620
GTPB4,1621
DDX55,1622
A16A1,1623
SRP54,1624
ARF1,1625
AOC1,1626
PHP14,1627
O2AG2,1628
MIA40,1629
ZN888,1630
CD201,1631
HKDC1,1632
PDZ1P,1633
RLA2,1634
LYPA2,1635
TECTA,1636
DNJC5,1637
CHPT1,1638
DUT,1639
VAT1,1640
SPRC,1641
TDRD6,1642
PRD10,1643
CD49B,1644
GG6L1,1645
BIG1,1646
FHL1,1647
CD319,1648
HAUS8,1649
HYPK,1650
DC1L1,1651
PTPRB,1652
GRB1L,1653
HLTF,1654
TR150,1655
MOGS,1656
ZN668,1657
IPO4,1658
IHH,1659
LAMC1,1660
S10A4,1661
GOG8R,1662
RSU1,1663
RBM34,1664
CELR1,1665
MRE11,1666
PPHLN,1667
AK1A1,1668
T184A,1669
NUAK1,1670
MAK16,1671
STX16,1672
CAC1E,1673
HPCL1,1674
PRP31,1675
K22O,1676
WNK1,1677
FTCD,1678
ATP6,1679
COQ4,1680
TEKT2,1681
IGD,1682
MMP2,1683
CL042,1684
CP27A,1685
IPO5,1686
TRAD1,1687
ATRIP,1688
CP2W1,1689
LRBA,1690
CNTRL,1691
RS26,1692
WDR12,1693
MASTCELLTRYPTASE,1694
RL36A,1695
PARVA,1696
UN45A,1697
IL18,1698
AT2A2,1699
ZN789,1700
CLIP1,1701
KYNU,1702
ABCD3,1703
ALBU,1704
SRP19,1705
6PGD,1706
SSX9,1707
RM19,1708
RAB31,1709
BIN1,1710
FOXS1,1711
RFC5,1712
KLOT,1713
U2AFM,1714
CK5P2,1715
QCR1,1716
DLG2,1717
SETD8,1718
MKLN1,1719
F186B,1720
PICAL,1721
GBG12,1722
ATG2B,1723
TACC3,1724
UBP5,1725
TASO2,1726
XPO7,1727
GCSH,1728
HLA.DQ,1729
CHD1L,1730
SPB12,1731
NFKB2,1732
RAI3,1733
EIF3H,1734
ELP6,1735
BUB1,1736
ZSWM8,1737
H3K27M,1738
SEH1,1739
TBR1,1740
WDR35,1741
LRC27,1742
ABH15,1743
SYMPK,1744
BFSP1,1745
GBRR2,1746
BIG2,1747
MYOM2,1748
VWA8,1749
CD231,1750
CCNB1,1751
HEBP2,1752
NAPSA,1753
KRT86,1754
DAP1,1755
DNMT1,1756
LPP60,1757
LBP,1758
RASEF,1759
SVIL,1760
PGRC2,1761
B4GN2,1762
SMA,1763
NUBP1,1764
GPX1,1765
HSP7C,1766
PSME2,1767
SC11A,1768
FLNA,1769
PRP19,1770
AT8A2,1771
PHB1,1772
ORC4,1773
KIF5C,1774
ZKSC7,1775
NAC3,1776
TNPO2,1777
CRGA,1778
CPMD8,1779
CND2,1780
ANR27,1781
CD286,1782
LCLT1,1783
CD263,1784
OSBP2,1785
TY3H,1786
CCD25,1787
CDK7,1788
RBM25,1789
SYAC,1790
FILA,1791
VPP3,1792
SKAP,1793
UBE3B,1794
CD273,1795
HSP74,1796
VWA3A,1797
VA0D2,1798
CP2U1,1799
CD338,1800
HBP1,1801
HMGA1,1802
PSA6,1803
ODPAT,1804
